State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
California,Amazon (SJC11 Facility),Sunnyvale,33,05/15/2025,07/07/2025,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,1100 Enterprise Way  Sunnyvale CA 94089
California,Amazon (SJC14 Facility),Sunnyvale,6,05/15/2025,07/07/2025,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,905 11th Avenue  Sunnyvale CA 94089
California,Amazon (SJC31 Facility),Sunnyvale,5,05/15/2025,07/07/2025,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,1100 Discovery Way  Sunnyvale CA 94089
California,Amazon (SJC32 Facility),Sunnyvale,8,05/15/2025,07/07/2025,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,1140 Enterprise Way  Sunnyvale CA 94089
Virginia,Amazon MAK7,Manassas,88,03/12/2025,05/13/2025,Closure,,,Northern,,,
California,Amazon,Thousand Oaks,76,03/14/2025,05/13/2025,Closure Permanent,,,,Ventura County,44-45 Retail Trade,140 Promenade Way  Thousand Oaks CA 91362
California,Amazon,Woodland Hills,10,01/15/2025,03/09/2025,Closure Permanent,,,,Los Angeles County,44-45 Retail Trade,22001 Ventura Blvd  Woodland Hills CA 91364
Pennsylvania,Amazon,Imperial,432,01/01/2025,03/12/2025,Layoff,,,,Allegheny,,
California,Amazon,Milpitas,57,10/29/2024,12/27/2024,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,1860 Barber Lane  Milpitas CA 95035
Illinois,Amazon,Chicago,211,09/16/2024,11/13/2024,Closing,Permanent,No,Northeast 4,Cook,Warehousing and Storage,
California,Amazon,Irvine,162,09/09/2024,11/07/2024,Layoff Permanent,,,,Orange County,48-49 Transportation and Warehousing,2006 McGaw Avenue  Irvine CA 92614
California,Amazon,West Sacramento,159,09/09/2024,10/30/2024,Layoff Permanent,,,,Yolo County,48-49 Transportation and Warehousing,3640 Ramos Dr Suite 110  West Sacramento CA 95691
South Carolina,Whole Foods Market,Hilton Head Island,90,08/02/2024,10/01/2024,Closure,Permanent,,,Beaufort,,
California,Amazon,Vernon,54,06/07/2024,08/07/2024,Layoff Permanent,,,,Los Angeles County,,"5119 District Blvd, #100  Vernon CA 90058"
