State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
California,"Meta Platforms, Inc.",Fremont,2,05/08/2023,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0001: 6540 Kaiser Drive Fremont CA 94555
California,"Meta Platforms, Inc.",Fremont,18,05/08/2023,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0116: 6623 Dumbarton Cir Fremont CA 94555
California,"Meta Platforms, Inc.",Fremont,34,05/08/2023,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0117: 6611 Dumbarton Cir Fremont CA 94555
California,"Meta Platforms, Inc.",Fremont,26,05/08/2023,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0118: 6591 Dumbarton Cir Fremont CA 94555
California,"Meta Platforms, Inc.",Fremont,12,05/08/2023,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0119: 6520 Kaiser Drive Fremont CA 94555
California,"Meta Platforms, Inc.",Fremont,41,05/08/2023,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0122: 6539 Dumbarton Cir Fremont CA 94555
California,"Meta Platforms, Inc.",Fremont,3,05/08/2023,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE0126: 6750 Dumbarton Circle Fremont CA 94555
California,"Meta Platforms, Inc.",Fremont,4,05/08/2023,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE6500: 6500 Paseo Padre Pkwy Fremont CA 94555
California,"Meta Platforms, Inc.",Fremont,3,05/08/2023,06/23/2023,Layoff Permanent,,,,Alameda County,,FRE6530: 6530 Paseo Padre Pkwy Fremont CA 94555
California,"Meta Platforms, Inc.",Menlo Park,3,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0001: 1 Hacker Way Menlo Park CA 94025
California,"Meta Platforms, Inc.",Menlo Park,6,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0010: 10 Hacker Way Menlo Park CA 94025
California,"Meta Platforms, Inc.",Menlo Park,39,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0012: 12 Hacker Way Menlo Park CA 94025
California,"Meta Platforms, Inc.",Menlo Park,57,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0014: 14 Hacker Way Menlo Park CA 94025
California,"Meta Platforms, Inc.",Menlo Park,70,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0016: 16 Hacker Way Menlo Park CA 94025
California,"Meta Platforms, Inc.",Menlo Park,79,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0017: 17 Hacker Way Menlo Park CA 94025
California,"Meta Platforms, Inc.",Menlo Park,25,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0018: 18 Hacker Way Menlo Park CA 94025
California,"Meta Platforms, Inc.",Menlo Park,114,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0020: Meta Wy Menlo Park CA 94025
California,"Meta Platforms, Inc.",Menlo Park,91,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0021: Meta Wy Menlo Park CA 94025
California,"Meta Platforms, Inc.",Menlo Park,118,05/08/2023,06/23/2023,Layoff Permanent,,,,San Mateo County,,MPK0022: 305 Constitution Dr Menlo Park CA 94025
