State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Washington,Microsoft,Redmond,305,06/02/2025,08/01/2025,Layoff,Permanent,,,,,
California,Microsoft - 1045,Mountain View,7,06/02/2025,08/01/2025,Layoff Permanent,,,,Santa Clara County,51 Information,1045 La Avenida  Mountain View CA 94043
California,Microsoft - 445 & 455,Sunnyvale,1,06/02/2025,08/01/2025,Layoff Permanent,,,,Santa Clara County,51 Information,445 & 455 North Mary Avenue  Sunnyvale CA 94085
California,LinkedIn Corporation,San Francisco,60,05/28/2025,05/15/2025,Layoff Permanent,,,,San Francisco County,51 Information,222 Second Street  San Francisco CA 94105
California,LinkedIn Corporation,Carpintiera,11,05/28/2025,05/15/2025,Layoff Permanent,,,,Santa Barbara County,51 Information,6410 Via Real  Carpinteria CA 93013
California,LinkedIn Corporation,Sunnyvale,51,05/28/2025,05/15/2025,Layoff Permanent,,,,Santa Clara County,51 Information,1000 W. Maude Avenue  Sunnyvale CA 94085
California,LinkedIn Corporation,Mountain View,159,05/28/2025,05/15/2025,Layoff Permanent,,,,Santa Clara County,51 Information,700 E. Middlefield Road  Mountain View CA 94043
Washington,Microsoft,Redmond,"1,985",05/13/2025,07/12/2025,Layoff,Permanent,,,,,
California,Microsoft - 770,Mountain View,1,05/14/2025,07/12/2025,Layoff Permanent,,,,Santa Clara County,51 Information,770 E Middlefield  Mountain View CA 94043
California,Microsoft - 3201,Santa Clara,3,05/14/2025,07/12/2025,Layoff Permanent,,,,Santa Clara County,51 Information,3201 Scott Blvd  Santa Clara CA 95054
California,Microsoft - 1045,Mountain View,82,05/14/2025,07/12/2025,Layoff Permanent,,,,Santa Clara County,51 Information,1045 La Avenida  Mountain View CA 94043
California,Activision Blizzard,Los Angeles,143,09/13/2024,11/15/2024,Layoff Permanent,,,,Los Angeles County,54 Professional Scientific and Technical Services,13031 W. Jefferson Blvd Suite 200  Los Angeles CA 90094
California,Activision Blizzard,Santa Monica,110,09/13/2024,10/11/2024,Layoff Permanent,,,,Los Angeles County,56 Administrative and Support and Waste Management and Remediation,"2701 Olympic Blvd, Building B  Santa Monica CA 90404"
California,Activision Blizzard,Irvine,140,09/13/2024,10/11/2024,Layoff Permanent,,,,Orange County,56 Administrative and Support and Waste Management and Remediation,16215 Alton Pkwy  Irvine CA 92618
California,Activision Blizzard,Santa Monica,9,05/10/2024,06/07/2024,Layoff Permanent,,,,Los Angeles County,,"2701 Olympic Blvd, Building B Santa Monica CA 90404"
California,Activision Blizzard,Santa Monica,5,05/10/2024,06/07/2024,Layoff Permanent,,,,Los Angeles County,,2450 Colorado Avenue Santa Monica CA 90404
California,Activision Blizzard,Woodland Hills,1,04/12/2024,06/07/2024,Layoff Permanent,,,,Los Angeles County,,"21255 Burbank Blvd, Suite 600 Woodland Hills CA 91367"
California,Activision Blizzard,Irvine,18,04/12/2024,06/07/2024,Layoff Permanent,,,,Orange County,,16215 Alton Pkwy Irvine CA 92618
California,Activision Blizzard,Woodland Hills,49,02/02/2024,03/30/2024,Layoff Permanent,,,,Los Angeles County,,21255 Burbank Blvd Suite 600 Woodland Hills CA 91367
California,Activision Blizzard,Santa Monica,79,02/02/2024,03/30/2024,Layoff Permanent,,,,Los Angeles County,,2701 Olympic Blvd Building B Santa Monica CA 90404
California,Activision Blizzard,Santa Monica,130,02/02/2024,03/30/2024,Layoff Permanent,,,,Los Angeles County,,2450 Colorado Ave. Santa Monica CA 90404
California,Activision Blizzard,Irvine,479,02/02/2024,03/30/2024,Layoff Permanent,,,,Orange County,,16215 Alton Pkwy Irvine CA 92618
California,Activision Blizzard,Novato,86,02/02/2024,03/30/2024,Layoff Permanent,,,,Marin County,,4 Hamilton Landing Suite 210 Novato CA 94949
California,Activision Blizzard,San Mateo,76,02/02/2024,03/30/2024,Layoff Permanent,,,,San Mateo County,,1001 E Hillside Blvd. Ste. 610 San Mateo CA 94404
California,LinkedIn Corporation,700 E. Middlefield Road Mountain View CA 94043,349,01/19/2024,12/15/2023,Layoff Permanent,,,,Santa Clara County,,
California,LinkedIn Corporation,1000 W. Maude Avenue Sunnyvale CA 94085,42,01/19/2024,12/15/2023,Layoff Permanent,,,,Santa Clara County,,
California,LinkedIn Corporation,222 Second Street San Francisco CA 94105,42,01/19/2024,12/15/2023,Layoff Permanent,,,,San Francisco County,,
California,LinkedIn Corporation,6410 Via Real Carpinteria CA 93013,5,01/19/2024,12/15/2023,Layoff Permanent,,,,Santa Barbara County,,
California,LinkedIn Corporation,1000 W. Maude Avenue Sunnyvale CA 94085,102,07/24/2023,06/09/2023,Layoff Permanent,,,,Santa Clara County,,
California,LinkedIn Corporation,700 E. Middlefield Road Mountain View CA 94043,13,07/24/2023,06/09/2023,Layoff Permanent,,,,Santa Clara County,,
California,LinkedIn Corporation,222 Second Street San Francisco CA 94105,72,07/24/2023,06/09/2023,Layoff Permanent,,,,San Francisco County,,
California,Microsoft,1045 La Avenida Mountain View CA 94043,40,07/10/2023,09/08/2023,Layoff Permanent,,,,Santa Clara County,,
Washington,Microsoft,"Redmond, Bellevue",276,07/10/2023,09/08/2023,Layoff,Permanent,,,,,
California,Microsoft,1045 La Avenida Mountain View CA 94043,2,07/07/2023,08/04/2023,Layoff Permanent,,,,Santa Clara County,,
Washington,Microsoft,Redmond,22,06/05/2023,08/04/2023,Layoff,Permanent,,,,,
Washington,Microsoft,Redmond,158,05/09/2023,05/26/2023,Layoff,Permanent,,,,,
California,Microsoft,1045 La Avenida Mountain View CA 94043,19,04/03/2023,05/26/2023,Layoff Permanent,,,,Santa Clara County,,
California,Microsoft,2820 Northwestern Parkway Santa Clara CA 95051,1,04/03/2023,05/26/2023,Layoff Permanent,,,,Santa Clara County,,
California,Microsoft,11 Great Oaks Blvd San Jose CA 95138,1,04/03/2023,05/26/2023,Layoff Permanent,,,,Santa Clara County,,
Washington,Microsoft,"Redmond, Bellevue",559,03/27/2023,05/26/2023,Layoff,Permanent,,,,,
California,Microsoft,1045 La Avenida Mountain View CA 94043,54,03/20/2023,05/05/2023,Layoff Permanent,,,,Santa Clara County,,
