State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Colorado,Twitter (Boulder),,87,1/4/2023,3/5/2023,Not disclosed,,,Boulder,,,Sector 51: Information 519290 Web Search Portals & Other Info Services
California,"Twitter, Inc.",150 Pico Blvd Santa Monica CA 90405,4,11/28/2022,01/21/2023,Layoff Permanent,,,,Los Angeles County,,
California,"Twitter, Inc.",1355 Market St #900 San Francisco CA 94103,10,11/28/2022,01/21/2023,Layoff Permanent,,,,San Francisco County,,
Massachusetts,"Twitter, Inc.",Boston,18,11/25/2022,1/20/2023,,,,,,,
Colorado,Twitter (Boulder) Supplemental,,38,11/25/2022,1/20/2023,Voluntary Resignation,,,Boulder,,,Sector 51: Information 519290 Web Search Portals & Other Info Services
California,"Twitter, Inc.",150 Pico Blvd Santa Monica CA 90405,93,11/07/2022,01/04/2023,Layoff Permanent,,,,Los Angeles County,,
California,"Twitter, Inc.",1355 Market St San Francisco CA 94103,784,11/07/2022,01/04/2023,Layoff Permanent,,,,San Francisco County,,
California,"Twitter, Inc.","3055 Olin Ave., Floor 3 San Jose CA 95128",106,11/07/2022,01/04/2023,Layoff Permanent,,,,Santa Clara County,,
Washington,"Twitter, Inc",Seattle,208,11/4/2022,1/4/2023,Layoff,Permanent,,,,,
Massachusetts,"Twitter, Inc.",Boston,55,11/04/2022,1/4/2023,,,,,,,
California,"Twitter, Inc.",San Francisco,67,10/27/2016,12/27/2016,Layoff Permanent,,,,,,
California,"Twitter, Inc.",San Francisco,240,10/14/2015,12/13/2015,Layoff Permanent,,,,,,
Georgia,"Twitter, Inc.",Atlanta,62,,01/04/2023,,,,3,Fulton,,GA202200053
