State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes,Received Date,"Effective
  Date",Layoff/Closure,Month-Year,Month,Month name
California,Amazon (SJC11 Facility),Sunnyvale,33.0,2025-05-15,07/07/2025,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,1100 Enterprise Way  Sunnyvale CA 94089,,,,2025-05,5.0,May
California,Amazon (SJC14 Facility),Sunnyvale,6.0,2025-05-15,07/07/2025,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,905 11th Avenue  Sunnyvale CA 94089,,,,2025-05,5.0,May
California,Amazon (SJC31 Facility),Sunnyvale,5.0,2025-05-15,07/07/2025,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,1100 Discovery Way  Sunnyvale CA 94089,,,,2025-05,5.0,May
California,Amazon (SJC32 Facility),Sunnyvale,8.0,2025-05-15,07/07/2025,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,1140 Enterprise Way  Sunnyvale CA 94089,,,,2025-05,5.0,May
California,Amazon,Thousand Oaks,76.0,2025-03-14,05/13/2025,Closure Permanent,,,,Ventura County,44-45 Retail Trade,140 Promenade Way  Thousand Oaks CA 91362,,,,2025-03,3.0,March
California,Amazon,Woodland Hills,10.0,2025-01-15,03/09/2025,Closure Permanent,,,,Los Angeles County,44-45 Retail Trade,22001 Ventura Blvd  Woodland Hills CA 91364,,,,2025-01,1.0,January
California,Amazon,Milpitas,57.0,2024-10-29,12/27/2024,Layoff Permanent,,,,Santa Clara County,44-45 Retail Trade,1860 Barber Lane  Milpitas CA 95035,,,,2024-10,10.0,October
California,Amazon,Irvine,162.0,2024-09-09,11/07/2024,Layoff Permanent,,,,Orange County,48-49 Transportation and Warehousing,2006 McGaw Avenue  Irvine CA 92614,,,,2024-09,9.0,September
California,Amazon,West Sacramento,159.0,2024-09-09,10/30/2024,Layoff Permanent,,,,Yolo County,48-49 Transportation and Warehousing,3640 Ramos Dr Suite 110  West Sacramento CA 95691,,,,2024-09,9.0,September
California,Amazon,Vernon,54.0,2024-06-07,08/07/2024,Layoff Permanent,,,,Los Angeles County,,"5119 District Blvd, #100  Vernon CA 90058",,,,2024-06,6.0,June
California,Amazon,4601 Newcastle Drive Stockton CA 95215,390.0,2024-05-28,07/30/2024,Layoff Permanent,,,,San Joaquin County,,,,,,2024-05,5.0,May
California,Amazon,San Francisco,85.0,2024-05-01,06/27/2024,Closure Permanent,,,,San Francisco County,,888 Tennessee St.  San Francisco CA 94107,,,,2024-05,5.0,May
California,"ABM General Services, Inc. at SBD 1 Amazon",Bloomington,49.0,2024-01-31,03/19/2024,Layoff Permanent,,,,San Bernardino County,,3388 S. Cactus Avenue Bloomington CA 92316,,,,2024-01,1.0,January
California,"ABM General Services, Inc. at SNA 4 Amazon",Rialto,32.0,2024-01-31,03/19/2024,Layoff Permanent,,,,San Bernardino County,,2496 W. Walnut Avenue Rialto CA 92376,,,,2024-01,1.0,January
California,"ABM General Services, Inc. at PSP 1 Amazon",Beaumont,86.0,2024-01-31,03/19/2024,Layoff Permanent,,,,Riverside County,,1010 W. Fourth Street Beaumont CA 92223,,,,2024-01,1.0,January
California,"ABM General Services, Inc. at ONT 6 Amazon",Moreno Valley,52.0,2024-01-31,03/19/2024,Layoff Permanent,,,,Riverside County,,24208 San Michele Road Moreno Valley CA 92551,,,,2024-01,1.0,January
California,"ABM General Services, Inc. at FAT 1 Amazon",Fresno,114.0,2024-01-31,03/19/2024,Layoff Permanent,,,,Fresno County,,3775 S. Orange Avenue Fresno CA 93725,,,,2024-01,1.0,January
California,Amazon,Culver City,98.0,2024-01-29,03/11/2024,Layoff Permanent,,,,Los Angeles County,,9336 W. Washington Blvd Culver City CA 90232,,,,2024-01,1.0,January
California,Amazon,Culver City,2.0,2024-01-29,03/11/2024,Layoff Permanent,,,,Los Angeles County,,9300 Culver Blvd Culver City CA 90232,,,,2024-01,1.0,January
California,Amazon,Culver City,13.0,2024-01-29,03/11/2024,Layoff Permanent,,,,Los Angeles County,,100 Corporate Pointe Culver City CA 90230,,,,2024-01,1.0,January
California,"Twitch Interactive, Inc. SFO19 Facility",San Francisco,218.0,2024-01-26,04/01/2024,Layoff Permanent,,,,San Francisco County,,350 Bush St. San Francisco CA 94104,,,,2024-01,1.0,January
California,Amazon,San Francisco,57.0,2023-12-05,01/16/2024,Layoff Permanent,,,,,,188 Spear St. 2nd Floor San Francisco CA 94105,,,,2023-12,12.0,December
California,Amazon,Glendale,114.0,2023-12-05,01/02/2024,Closure Permanent,,,,,,889 Americana Way Glendale CA 91210,,,,2023-12,12.0,December
California,Twitch,San Francisco,153.0,2023-04-17,06/02/2023,Layoff Permanent,,,,San Francisco County,,350 Bush St. San Francisco CA 94104,,,,2023-04,4.0,April
California,Amazon,Santa Monica,16.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Los Angeles County,,1620 26th St Santa Monica CA 90404,,,,2023-01,1.0,January
California,Amazon,Santa Monica,39.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Los Angeles County,,2425 Olympic Blvd Santa Monica CA 90404,,,,2023-01,1.0,January
California,Amazon,Santa Monica,2.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Los Angeles County,,808 Wilshire Blvd Santa Monica CA 90401,,,,2023-01,1.0,January
California,Amazon,Sunnyvale,52.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Santa Clara County,,1120 Enterprise Way Sunnyvale CA 94089,,,,2023-01,1.0,January
California,Amazon,Sunnyvale,33.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Santa Clara County,,1100 Enterprise Way Sunnyvale CA 94089,,,,2023-01,1.0,January
California,Amazon,Sunnyvale,58.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Santa Clara County,,1160 Enterprise Way Sunnyvale CA 94089,,,,2023-01,1.0,January
California,Amazon,Sunnyvale,7.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Santa Clara County,,905 11th Avenue Sunnyvale CA 94089,,,,2023-01,1.0,January
California,Amazon,Sunnyvale,5.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Santa Clara County,,1100 Discovery Way Sunnyvale CA 94089,,,,2023-01,1.0,January
California,Amazon,Sunnyvale,2.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Santa Clara County,,1140 Enterprise Way Sunnyvale CA 94089,,,,2023-01,1.0,January
California,Amazon,Sunnyvale,10.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Orange County,,40 Pacifica Suite 100 Irvine CA 92618,,,,2023-01,1.0,January
California,Amazon,Irvine,1.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Orange County,,123 Technology Dr Irvine CA 92618,,,,2023-01,1.0,January
California,Amazon,Irvine,17.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Orange County,,20 Pacifica Suite 900 Irvine CA 92618,,,,2023-01,1.0,January
California,Amazon,Irvine,58.0,2023-01-20,03/19/2023,Layoff Permanent,,,,Orange County,,17300 Laguna Canyon Road Irvine CA 92618,,,,2023-01,1.0,January
California,Amazon,San Diego,98.0,2023-01-20,03/19/2023,Layoff Permanent,,,,San Diego County,,10300 Campus Point Dr Suite 200 San Diego CA 92121,,,,2023-01,1.0,January
California,Amazon,San Diego,2.0,2023-01-20,03/19/2023,Layoff Permanent,,,,San Diego County,,4575 La Jolla Village Drive San Diego CA 92122,,,,2023-01,1.0,January
California,Amazon,San Francisco,1.0,2023-01-20,03/19/2023,Layoff Permanent,,,,San Francisco County,,200 Paul Ave #402 San Francisco CA 94124,,,,2023-01,1.0,January
California,Amazon,San Francisco,20.0,2023-01-20,03/19/2023,Layoff Permanent,,,,San Francisco County,,475 Sansome St 10th floor San Francisco CA 94111,,,,2023-01,1.0,January
California,Amazon,San Francisco,63.0,2023-01-20,03/19/2023,Layoff Permanent,,,,San Francisco County,,188 Spear St 2nd Floor San Francisco CA 94105,,,,2023-01,1.0,January
California,Amazon,San Francisco,20.0,2023-01-20,03/19/2023,Layoff Permanent,,,,San Francisco County,,525 Market St San Francisco CA 94105,,,,2023-01,1.0,January
California,Amazon,Sunnyvale,31.0,2022-12-05,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1120 Enterprise Way Sunnyvale CA 94089,,,,2022-12,12.0,December
California,Amazon,Sunnyvale,73.0,2022-12-05,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1100 Enterprise Way Sunnyvale CA 94089,,,,2022-12,12.0,December
California,Amazon,Sunnyvale,14.0,2022-12-05,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1160 Enterprise Way Sunnyvale CA 94089,,,,2022-12,12.0,December
