State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
New York,Victoria's Secret (5th Avenue store & Herald Square store),New York,740,08/31/2020,04/05/2020,Temporary Plant Closing,,,New York City,New York,Retail store,Unforeseeable business circumstances prompted by COVID- 19.
New York,"Tapestry, Inc.",New York,290,08/31/2020,03/13/2020,Temporary Plant Closing/Plant Layoff,,,New York City,New York,American multinational luxury fashion holding company,Unforeseeable business circumstances prompted by COVID- 19.
New York,"Galaxy Restaurants Catering Group, LP aka Constellation",Bronx,210,08/31/2020,03/16/2020,Temporary Plant Closing/Plant Layoff,,,New York City,Bronx,Restaurant,Unforeseeable business circumstances prompted by COVID- 19.
New York,Access - Supports for Living Inc. (at U.S. Merchant Marine Academy),Kings Point,53,08/28/2020,11/30/2020,Plant Closing,,,Long Island,Nassau,Service academy in Nassau County,Termination of Access’s service contract with the U.S. Merchant Marine Academy.
New York,Aramark (at Pricewaterhouse Coopers),New York,35,08/28/2020,03/25/2020,Temporary Plant Closing/Plant Layoff,,,New York City,New York,Food Services,Unforeseeable business circumstances prompted by COVID- 19.
New York,Kleinfeld Bridal Corp.,New York,107,08/28/2020,04/05/2020,Temporary Plant Layoff,,,New York City,New York,Retail Bridal store,Unforeseeable business circumstances prompted by COVID- 19.
New York,"The International Academy of Hope (""iHOPE"")",New York,56,08/27/2020,05/01/2020,Temporary Plant Closing,,,New York City,New York,"serves children, adolescents, and young adults from ages 5 years to 21 years old, who have sustained acquired brain injuries or other brain based disorders who cannot be served in their local school systems.",Unforeseeable business circumstances prompted by COVID- 19
New York,"Compass Group USA, Inc. dba Chartwells Higher Education (at New York University)",New York,71,08/26/2020,08/31/2020,Partial Closing/Layoff,,,New York City,New York,Food Services,Unforeseeable business circumstances prompted by COVID- 19 and contract termination by Samsung.
New York,"Brooks Brothers Group, Inc. (retail store and corporate offices)",New York,160,08/26/2020,03/21/2020,Temporary Plant Closing,,,New York City,New York,Retail Clothing Store and corporate offices,Unforeseeable business circumstances prompted by COVID- 19 and sale of the business.
New York,"ABM Aviation, Inc.",East Elmhurst,31,08/25/2020,08/28/2020,Plant Layoff,,,New York City,Queens,Transportation,Unforeseeable business circumstances prompted by COVID- 19.
New York,"ABM Aviation, Inc.",Jamaica,40,08/25/2020,08/28/2020,Plant Layoff,,,New York City,Queens,Transportation,Unforeseeable business circumstances prompted by COVID- 19
New York,Trump Restaurants LLC,New York,33,08/24/2020,03/16/2020,Temporary Plant Closing,,,New York City,New York,Restaurant,Unforeseeable business circumstances prompted by COVID- 19.
New York,741 Eighth Avenue Owners LLC dba Hotel Riu Plaza New York Times Square,New York,129,08/24/2020,03/22/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"Mosaic Sales Solutions US Operating Co., LLC (at Samsung Store #837, Manhattan)",New York,45,08/21/2020,09/19/2020,Plant Closing,,,New York City,New York,Advertising Services,Unforeseeable business circumstances prompted by COVID- 19 and contract termination by Samsung.
New York,"Compass Group USA, Inc. dba Chartwells (at Barnard College)",New York,91,08/20/2020,03/14/2020,Plant Closing,,,New York City,New York,Foodservice and support services,Unforeseeable business circumstances prompted by COVID- 19
New York,Centric Brands Inc. (Corporate office),New York,3,08/20/2020,08/31/2020,Plant Layoff,,,New York City,New York,"Brand collective that designs, sources, markets and sells high quality products in the kids, men's and women's apparel, accessories, beauty and entertainment segments.",Unforeseeable business circumstances prompted by COVID- 19
New York,Morandi L.P. dba Morandi,New York,106,08/20/2020,03/16/2020,Temporary Plant Closing,,,New York City,New York,Restaurant,Unforeseeable business circumstances prompted by COVID- 19
New York,Minetta Lane L.P. dba Minetta Tavern,New York,93,08/20/2020,03/15/2020,Temporary Plant Closing,,,New York City,New York,Restaurant,Unforeseeable business circumstances prompted by COVID- 19
New York,"Restaurant Associates (200 Vesey Street, NYC)",New York,80,08/20/2020,03/27/2020,Temporary Plant Closing/Plant Layoff,,,New York City,New York,Food Services,Unforeseeable business circumstances prompted by COVID- 19.
New York,"Ocinomled, Ltd d/b/a Delmonico's",New York,121,08/19/2020,03/16/2020,Plant Closing,,,New York City,New York,Manage Full- Service Restaurants,Unforeseeable business circumstances prompted by COVID- 19
New York,American Technical Ceramics Corp. (Phase 5),Huntington Station,27,08/19/2020,11/20/2020,Plant Closing,,,Long Island,Suffolk,Manufacturer of capacitors,Economic
New York,"ABM Aviation, Inc. (Taxi Operations with Port Authority of New York and New Jersey - LGA Airport)",Flushing,55,08/19/2020,08/22/2020,Plant Layoff,,,New York City,New York,Supports commercial aviation,Unforeseeable business circumstances prompted by COVID- 19
New York,Penny Lane Management L.P.,New York,22,08/19/2020,03/16/2020,Temporary Plant Layoff,,,New York City,New York,Manage Full- Service Restaurants,Unforeseeable business circumstances prompted by COVID- 19
New York,"Compass Group USA, Inc. dba FLIK (30 Rockefeller Plaza)",New York,38,08/18/2020,08/31/2020,Plant Closing,,,New York City,Queens,Food services,Unforeseeable business circumstances prompted by COVID- 19
New York,"Compass Group USA, Inc. dba FLIK (at British Airways Lounge, JFK Airport, Queens)",Queens,90,08/18/2020,08/31/2020,Plant Closing,,,New York City,Queens,Food services,Unforeseeable business circumstances prompted by COVID- 19
New York,"Gowanda REM-tronics, LLC",Dunkirk,69,08/17/2020,11/15/2020,Plant Closing,,,Western Region,Chautauqua,Contract manufacturer of electronic products.,Economic
New York,"Hornblower Cruises & Events, LLC",New York,502,08/17/2020,03/18/2020,Temporary Plant Closing/Plant Layoff,,,New York City,New York,Cruises and Events,Unforeseeable business circumstances prompted by COVID- 19
New York,"Windy Gates, Soho, Inc. dba Balthazar Restaurant (80 Spring St., NYC)",New York,224,08/14/2020,03/16/2020,Temporary Plant Closing,,,New York City,New York,Restaurant,Unforeseeable business circumstances prompted by COVID- 19
New York,"The Leading Hotels of the World, Ltd. (485 Lexington Ave., NYC)",New York,63,08/13/2020,04/21/2020,Temporary Plant Layoff/Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,The Racquet and Tennis Club,New York,33,08/12/2020,03/22/2020,Temporary Plant Closing,,,New York City,New York,Fitness and recreational sports facility,Unforeseeable business circumstances prompted by COVID- 19
New York,"HMSHost (Ardsley Travel Plaza, Hastings On Hudson)",Hastings on Hudson,16,08/12/2020,03/11/2020,Temporary Plant Layoff/Plant Layoff,,,Mid-Hudson Region,Westchester,Food Service,Unforeseeable business circumstances prompted by COVID- 19
