State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,XiFin,Austin,87,06/04/2025,05/29/2025,,,,Capital Area WDA,Travis,,
Texas,Eckerd Connects (David Carrasco Job Corps),El Paso,77,06/04/2025,06/13/2025,,,,Borderplexjobs WDA,El Paso,,
Texas,Sunnova Energy Corporation,Houston,,06/03/2025,05/30/2025,,,,Gulf Coast WDA,Harris,,
Texas,JC Penney (Allaince Supply Chain),Haslet,296,06/03/2025,08/01/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Texana Center (Building A) Airport Service Center,Rosenberg,27,05/28/2025,05/21/2025,,,,Gulf Coast WDA,Fort Bend,,
Texas,Texana Center (Building B) Airport Service Center,Rosenberg,25,05/28/2025,05/21/2025,,,,Gulf Coast WDA,Fort Bend,,
Texas,Chevron (Deauville Blvd),Midland,733,05/28/2025,07/15/2025,,,,Permian Basin WDA,Midland,,
Texas,Texana Center El Campo Learning Center,El Campo,9,05/28/2025,05/21/2025,,,,Gulf Coast WDA,Wharton,,
Texas,Chevron (S. County Rd.),Midland,7,05/28/2025,07/15/2025,,,,Permian Basin WDA,Midland,,
Texas,Chevron (N. FM 1788),Midland,44,05/28/2025,07/15/2025,,,,Permian Basin WDA,Midland,,
Texas,Texana Center Glenn Lakes Group Home,Missouri City,7,05/28/2025,05/21/2025,,,,Gulf Coast WDA,Fort Bend,,
Texas,Texana Center North Street Group Home,Rosenberg,7,05/28/2025,05/21/2025,,,,Gulf Coast WDA,Fort Bend,,
Texas,Texana Center Aqua Vista Group,Rosenberg,4,05/28/2025,05/21/2025,,,,Heart of Texas WDA,Fort Bend,,
Texas,Texana Center Russeff Filed  Home,Rosenberg,5,05/28/2025,05/21/2025,,,,Gulf Coast WDA,Fort Bend,,
Texas,Texana Center Dovecoft Group Home,Rosenberg,6,05/28/2025,05/21/2025,,,,Gulf Coast WDA,Fort Bend,,
Texas,Camden Landing Group Home,Rosenberg,5,05/28/2025,05/21/2025,,,,Gulf Coast WDA,Fort Bend,,
Texas,LACROIX,El Paso,7,05/27/2025,07/01/2025,,,,Borderplexjobs WDA,El Paso,,
Texas,Child Care Associates,Ft. Worth,93,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Tucker),Arlington,7,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Linda Kay),Hurst,15,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Mansfield),Mansfield,15,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Carson),Fort Worth,14,05/21/2025,05/21/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Meachum),Fort Worth,15,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Reagan),Fort Worth,14,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Rosedale V),Fort Worth,16,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Diamond Road),Fort Worth,13,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Morris Foundation),Fort Worth,17,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates(North Fort Worth),Fort Worth,16,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Blanche),Fort Worth,17,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Arlington 2),Arlington,22,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (JA Hargrave),Fort Worth,19,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Child Care Associates (Everman),Fort Worth,9,05/21/2025,06/30/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Sodexo (International Leadership TX),Irving,165,05/21/2025,06/30/2025,,,,Dallas County WDA,Dallas,,
Texas,F&S Produce West LLC,Houston,225,05/21/2025,07/20/2025,,,,Gulf Coast WDA,Harris,,
Texas,FedEx Supply Chain Logistics & Electronics (Ft. Worth),Fort Worth,305,05/20/2025,07/06/2025,,,,Tarrant County WDA,Tarrant,,
Texas,International Paper Company(Edinburg),Edinburg,63,05/14/2025,05/09/2025,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,International Paper Company (Edinburg W. Chapin),Edinburg,64,05/14/2025,05/09/2025,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,International Paper Company (McAllen),McAllen,5,05/14/2025,05/09/2025,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,Atria Wealth Solutions,Houston,55,05/14/2025,07/04/2025,,,,Gulf Coast WDA,Fort Bend,,
Texas,Museum of Ice Cream,Austin,38,05/08/2025,07/10/2025,,,,Capital Area WDA,Travis,,
Texas,WSS (Foot Locker),Houston,57,05/08/2025,07/07/2025,,,,Gulf Coast WDA,Harris,,
Texas,TRIGO (Tesla),Austin,50,05/07/2025,04/28/2025,,,,Capital Area WDA,Travis,,
Texas,Smurfikt Westrock Facility (ForneyTexas),Forney,200,05/06/2025,06/30/2025,,,,North Central Texas WDA,Kaufman,,
Texas,Tom Thumb Store #3579,Allen,75,05/06/2025,,,,,North Central Texas WDA,Collin,,
Texas,Chick-Fil-A (N. Collins St. Plant),Arlington,10,05/01/2025,06/07/2025,,,,Tarrant County WDA,Tarrant,,
Texas,PULAU Corporation,Killeen,64,04/30/2025,06/30/2025,,,,Central Texas WDA,Bell,,
Texas,Texas Central School Bus (Purnell),Lewisville,174,04/30/2025,07/17/2025,,,,None,Denton,,
Texas,Texas Central School Bus (Mill),Lewisville,131,04/30/2025,07/15/2025,,,,North Central Texas WDA,Denton,,
Texas,Texas Central School Bus (Cougar Alley),The Colony,155,04/30/2025,07/15/2025,,,,North Central Texas WDA,Denton,,
Texas,"Graphic Solutions, Inc. (Spring Valley)",Dallas,64,04/23/2025,06/13/2025,,,,Dallas County WDA,Dallas,,
Texas,"Graphic Solutions, Inc (Welch Rd)",Dallas,2,04/23/2025,06/13/2025,,,,Dallas County WDA,Dallas,,
Texas,Graphic Solutuions Inc. (Farmers Branch),Farmers Branch,5,04/23/2025,06/13/2025,,,,Dallas County WDA,Dallas,,
Texas,MedStar Mobile Healthcare,Fort Worth,589,04/16/2025,07/01/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Virtex Enterprises LP,Austin,84,04/16/2025,06/14/2025,,,,Capital Area WDA,Travis,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)San Felipe,Houston,36,04/08/2025,03/31/2025,,,,Gulf Coast WDA,Harris,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)Louisiana Street,Houston,6,04/08/2025,,,,,Gulf Coast WDA,Harris,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)Collins Road,Richmond,2,04/08/2025,03/31/2025,,,,Gulf Coast WDA,Fort Bend,,
Texas,Catholic Charities Archdiocese Of Galveston-Houston (Cabrini CFLA)South Loop West,Houston,1,04/08/2025,03/31/2025,,,,Gulf Coast WDA,Harris,,
Texas,US Cellular Corporation,Wichita Falls,1,04/08/2025,06/02/2025,,,,Heart of Texas WDA,Archer,,
Texas,"Movate, Inc.",Temple,51,04/08/2025,05/31/2025,,,,North Central Texas WDA,Bell,,
Texas,Raices (April 2025),San Antonio,159,04/08/2025,04/02/2025,,,,Alamo WDA,Bexar,,
Texas,Southeast Service Corporation Services for Education (Georgetown ISD),Georgetown,60,04/02/2025,05/31/2025,,,,,Georgetown,,
Texas,Envision Physician Services LLC,San Antonio,120,04/02/2025,05/31/2025,,,,Alamo WDA,San Antonio,,
Texas,Denali,Plano,28,04/02/2025,06/02/2025,,,,North Central Texas WDA,Plano,,
Texas,"BH Security, LLC DBA Brinks Home",Dallas,61,03/19/2025,06/30/2025,,,,Dallas County WDA,Dallas,,
Texas,"Church World Service, Inc.",Houston,63,03/18/2025,02/03/2025,,,,Gulf Coast WDA,Harris,,
Texas,"C&S Family of Companies (GSC Wholesale, LLC)",Houston,21,03/17/2025,03/14/2025,,,,Gulf Coast WDA,Harris,,
Texas,Grocery Delivery E Services USA DBA Hello Fresh (Tarrant),Grand Prairie,273,03/12/2025,05/13/2025,,,,Tarrant County WDA,Tarrant,,
Texas,Constellis LLC (Laredo Border Station),Laredo,121,03/12/2025,03/07/2025,,,,South Texas WDA,Webb,,
Texas,Constellis LLC (Laredo #2),Laredo,30,03/12/2025,03/07/2025,,,,South Texas WDA,Webb,,
Texas,Chewy Inc. Fullfillment Center,Dallas,674,03/12/2025,05/10/2025,,,,Dallas County WDA,Dallas,,
