Company,City,Number of Workers,WARN Received Date,Effective Date
"Meta Platforms, Inc",Seattle,419,2022-11-11,2023-01-13
"Meta Platforms, Inc",Bellevue,307,2022-11-11,2023-01-13
Amazon,Tukwila,172,2024-05-31,2024-08-01
Amazon,"Seattle, Bellevue",2320,2023-01-18,2023-03-19
Amazon Health Services,Seattle,159,2022-09-07,2022-12-01
Microsoft,Redmond,305,2025-06-02,2025-08-01
Microsoft,Redmond,1985,2025-05-13,2025-07-12
Microsoft,Redmond and Bellevue,276,2023-07-10,2023-09-08
Microsoft,Redmond,22,2023-06-05,2023-08-04
Microsoft,Redmond,158,2023-05-09,2023-05-26
Microsoft,Redmond and Bellevue,559,2023-03-27,2023-05-26
Microsoft,"Redmond, Bellevue, Issaquah",689,2023-03-06,2023-05-05
Microsoft,"Redmond, Bellevue, Issaquah",617,2023-02-09,2023-04-10
Microsoft,"Redmond, Bellevue, Issaquah",878,2023-01-18,2023-03-20
Microsoft,Redmond,635,2014-10-30,2014-12-28
Microsoft,Redmond,747,2014-09-18,2014-11-17
Microsoft,Redmond,1351,2014-07-17,2014-09-15
Microsoft,Redmond,27,2009-09-03,2009-11-01
Microsoft,Redmond,1200,2009-05-05,2009-07-04
Microsoft,Seattle,2,2009-04-01,2009-06-30
Microsoft,Redmond,872,2009-01-23,2009-03-23
Microsoft,Redmond,67,2004-08-23,2004-10-25
"Twitter, Inc",Seattle,257,2022-11-04,2023-01-04
